Subject,sex,mstatus,age,occupation,educyrs,distwork,workyrs,annualinc,famsize,ressize
737,1,3,27,1,18,16,2,19,1,6
745,1,2,38,1,18,18,7,38,4,27
766,1,2,44,1,16,7,22,22,3,18
767,2,3,31,1,18,21,7,19,1,12
768,1,1,24,1,16,22,1,20,1,5
809,2,1,32,1,18,7,4,20,1,5
828,2,1,34,1,18,20,9,22,1,4
831,1,2,55,1,16,7,27,21,2,20
832,1,2,23,1,16,24,2,20,2,19
843,1,1,35,1,18,11,5,23,1,9
864,2,3,39,1,18,13,13,18,3,24
867,2,3,35,1,17,20,8,19,2,20
886,2,1,24,1,15,15,1,19,1,11
898,2,3,26,1,16,17,1,18,2,18
903,2,1,43,1,18,11,7,19,1,5
909,2,3,33,1,18,7,4,20,2,6
926,1,2,55,1,16,8,14,27,2,19
930,2,1,30,1,18,6,3,18,1,8
958,2,1,32,1,16,15,8,23,1,6
962,1,2,28,1,18,6,4,27,4,17
966,1,2,39,1,16,21,10,28,5,18
971,2,2,31,1,18,9,4,21,1,6
979,2,3,38,1,16,13,6,20,2,8
993,2,1,22,1,16,9,1,20,1,6
7,1,1,45,2,16,22,22,48,1,8
8,1,2,59,2,12,20,29,32,2,25
11,1,2,43,2,16,7,18,38,3,33
13,1,2,43,2,12,29,15,28,4,29
18,1,2,60,2,16,22,25,60,2,39
19,1,2,43,2,16,9,12,39,4,31
28,1,2,41,2,16,31,14,38,4,32
29,1,2,44,2,16,17,12,42,3,4
31,1,2,56,2,12,13,16,23,2,20
33,1,2,51,2,12,24,16,30,3,32
34,2,3,26,2,16,17,3,16,2,24
36,1,2,30,2,16,5,1,31,3,27
37,1,2,49,2,12,32,9,28,3,31
42,1,2,57,2,16,11,20,60,2,38
45,1,2,59,2,16,10,19,51,2,36
47,1,2,43,2,12,25,16,21,4,20
48,2,3,30,2,16,14,5,12,3,12
53,1,2,52,2,14,32,7,28,3,25
58,1,2,40,2,12,16,10,26,4,27
60,1,2,44,2,16,32,15,32,3,34
63,1,2,42,2,16,9,12,38,4,34
66,1,2,56,2,15,32,26,29,2,27
67,1,2,41,2,16,20,15,34,4,33
71,1,2,31,2,13,14,6,35,4,38
84,1,2,55,2,16,8,15,44,3,36
93,1,2,43,2,16,14,21,38,4,37
95,2,1,44,2,18,11,20,19,1,11
96,1,2,40,2,12,34,12,27,4,34
97,1,2,41,2,16,11,11,36,3,37
99,1,2,40,2,14,25,12,30,4,28
108,2,1,36,2,16,25,11,17,1,12
112,1,2,43,2,12,29,12,24,3,30
113,1,2,50,2,12,22,30,27,3,21
120,1,2,47,2,16,31,24,32,3,33
127,1,2,53,2,12,15,18,30,2,24
129,1,2,40,2,12,6,15,21,4,19
131,1,2,42,2,16,29,14,35,4,34
136,1,2,56,2,16,15,28,38,2,33
138,1,2,51,2,16,30,19,44,3,37
139,1,1,49,2,12,34,10,32,5,30
143,1,1,49,2,14,35,11,24,3,30
144,1,3,50,2,16,22,15,38,4,33
150,1,2,59,2,14,17,32,28,2,30
151,1,2,40,2,12,13,20,24,5,31
155,1,1,22,2,16,31,2,20,1,6
158,1,1,23,2,16,11,1,20,1,7
159,1,2,32,2,16,33,1,41,5,18
166,1,1,47,2,16,32,22,33,3,32
171,1,2,48,2,16,23,17,45,2,34
172,1,1,56,2,12,6,21,30,1,30
175,1,2,31,2,16,16,5,45,5,38
179,1,1,42,2,16,10,20,31,1,33
183,2,1,28,2,16,5,3,20,1,5
184,1,2,34,2,16,28,7,40,3,36
187,1,2,55,2,16,22,22,24,2,24
188,1,2,41,2,14,24,13,20,3,19
190,2,3,27,2,18,29,5,22,2,19
194,1,2,33,2,12,34,7,29,2,36
199,1,2,23,2,15,30,2,15,3,12
200,1,2,51,2,16,10,28,42,3,23
203,1,2,45,2,12,23,25,22,3,18
205,1,2,43,2,12,35,19,20,4,19
208,1,2,32,2,18,7,5,42,2,39
210,1,2,29,2,16,30,4,38,2,29
220,1,2,36,2,15,14,4,27,3,16
222,1,2,47,2,12,13,17,22,3,19
223,1,2,41,2,16,7,16,34,3,31
227,2,1,42,2,16,21,15,22,1,8
232,1,2,48,2,16,19,20,41,3,37
234,2,3,25,2,16,11,2,23,2,14
235,1,2,52,2,12,14,30,24,2,21
237,2,1,29,2,16,27,3,24,1,14
238,1,2,51,2,16,16,26,55,3,39
239,1,2,43,2,12,31,19,22,4,20
242,1,2,45,2,16,31,19,35,4,29
249,1,2,30,2,12,13,7,28,4,16
250,1,2,24,2,16,35,3,24,3,24
251,1,2,33,2,16,5,4,42,3,30
263,1,1,25,2,12,7,1,14,1,7
266,1,2,47,2,16,13,25,42,2,32
269,2,3,35,2,16,10,7,26,3,19
272,1,2,22,2,16,8,1,14,3,10
275,1,3,43,2,16,17,19,49,1,26
276,1,2,37,2,12,7,12,29,4,15
285,1,2,23,2,16,13,2,22,3,20
288,1,2,31,2,16,12,3,28,3,15
292,1,2,35,2,16,23,10,46,5,39
293,2,1,31,2,16,7,3,16,1,5
294,1,2,42,2,16,15,11,47,2,34
303,2,1,39,2,16,19,9,21,1,6
305,1,1,41,2,16,12,13,36,1,8
313,1,1,24,2,16,5,1,20,1,15
315,1,2,29,2,13,28,8,32,3,27
321,1,2,29,2,16,15,7,30,4,27
